"product_id","name","product_code","rate","weight","gst_type","cgst","sgst","igst","status","created"
"11","ALIKA","","2100.000","TON","CGST","0.000","0.000","9.000","0","2018-07-22 08:48:39"
"13","patela","7001","1000.000","BAG","CGST SGST","9.000","9.000","0.000","1","2018-07-27 16:51:20"
